AUSTRALIAN BUREAU OF STATISTICS  2006 Census of Population and Housing,,,,,,,List of tables
Australia (0) 7759538.2 sq. Kms,,,,,,,Concepts and Definitions
,,,,,,,Census Dictionary
B34 RENT (WEEKLY) BY LANDLORD TYPE ,,,,,,,Census Data Quality Statement
Count of occupied private dwellings being rented(a),,,,,,,� Commonwealth of Australia 2007
,,,,,,,
,,,,,,,
,,,,Housing,,,
,Real,,, co-operative/,Other,,
,estate,State or territory,Person not in,community/,landlord,Landlord type,
,agent,housing authority,same household(b),church group,type(c),not stated,Total
,,,,,,,
$0-$49,"2,942","11,886","30,733","8,254","18,955","38,905","111,675"
$50-$99,"10,491","145,183","22,814","18,686","13,203","4,136","214,513"
$100-$139,"61,340","65,533","66,294","9,445","18,791","2,799","224,202"
$140-$179,"153,959","30,232","89,077","3,878","17,106","2,266","296,518"
$180-$224,"238,752","17,722","99,478","2,365","10,890","2,228","371,435"
$225-$274,"219,918","6,623","64,446","1,526","5,801","1,618","299,932"
$275-$349,"174,183","2,006","44,790",772,"3,576","1,072","226,399"
$350-$449,"90,211",689,"22,056",351,"1,529",560,"115,396"
$450-$549,"29,135",340,"7,852",152,591,196,"38,266"
$550 and over,"27,516","6,362","9,426",548,"1,216",567,"45,635"
Rent not stated,"15,747","17,850","17,029","4,193","7,776","3,890","66,485"
,,,,,,,
Total,"1,024,194","304,426","473,995","50,170","99,434","58,237","2,010,456"
,,,,,,,
,,,,,,,
(a) Excludes 'Visitors only' and 'Other not classifiable' households. ,,,,,,,
(b) Comprises dwellings being rented from a parent/other relative or other person.,,,,,,,
"(c) Comprises dwellings being rented through a 'Residential park (includes caravan parks and marinas)', 'Employer-government (includes Defence Housing Authority)' and 'Employer-other employer' (private). ",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
