AUSTRALIAN BUREAU OF STATISTICS  2016 Census of Population and Housing,,,,,,,List of tables
AUSTRALIA (0) 7688126.3 sq Kms,,,,,,,Find out more:
,,,,,,,Rent
G36 RENT (WEEKLY) BY LANDLORD TYPE ,,,,,,,Landlord Type
Count of occupied private dwellings being rented(a),,,,,,,
,,,,,,,
,,,,,,,
,Landlord type,,,,,,
,,,,Housing,,,
,,,, co-operative/,Other,,
,,State or territory,Person not in,community/,landlord,,
,Real estate agent,housing authority,same household(b),church group,type(c),Not stated,Total
,,,,,,,
$0-$74,"4,083","20,769","39,136","4,120","20,013","28,497","116,613"
$75-$99,"1,314","24,489","3,361","3,656","2,807",485,"36,121"
$100-$149,"12,570","104,071","23,811","8,370","8,681","1,663","159,169"
$150-$199,"44,442","56,093","39,776","12,743","10,015","1,745","164,821"
$200-$224,"45,924","23,240","37,706","4,646","6,366","1,011","118,890"
$225-$274,"135,537","22,057","59,540","4,869","16,174","1,511","239,693"
$275-$349,"334,939","18,491","99,053","4,081","13,915","2,266","472,735"
$350-$449,"464,493","9,430","101,671","2,671","10,289","2,184","590,736"
$450-$549,"234,303","2,160","45,998",830,"4,047",907,"288,237"
$550-$649,"113,338",710,"20,228",293,"1,689",342,"136,596"
$650-$749,"56,534",392,"10,191",178,799,207,"68,298"
$750-$849,"28,237",217,"5,829",109,452,104,"34,954"
$850-$949,"15,170",144,"3,125",60,247,64,"18,801"
$950 and over,"26,645",217,"6,786",40,709,145,"34,548"
Rent not stated,"24,133","17,476","22,083","4,403","9,289","3,697","81,087"
,,,,,,,
Total,"1,541,656","299,949","518,300","51,068","105,497","44,830","2,561,302"
,,,,,,,
This table is based on place of enumeration.,,,,,,,
(a) Includes dwellings being occupied rent-free. Excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,,,,
(b) Comprises dwellings being rented from a parent/other relative or other person.,,,,,,,
"(c) Comprises dwellings being rented through a 'Residential park (includes caravan parks and marinas)', 'Employer - Government (includes Defence Housing Authority)' and 'Employer - other employer'. ",,,,,,,
,,,,,,,
Please note that there are small random adjustments made to all cell values to protect the confidentiality of data. These adjustments may cause the sum of rows or columns to differ by small amounts from table totals.,,,,,,,
